Pos.,No.,Driver,Team,Laps,Time / Retired,Pts.,Year,Country,Race Date,Race Link
NC,14,Fernando AlonsoALO,McLaren Honda,21.0,DNF,0.0,2015,Flag of MalaysiaMalaysia,29 Mar,https://www.formula1.com/en/results/2015/races/918/malaysia/race-result
NC,9,Marcus EricssonERI,Sauber Ferrari,3.0,DNF,0.0,2015,Flag of MalaysiaMalaysia,29 Mar,https://www.formula1.com/en/results/2015/races/918/malaysia/race-result
1,44,Lewis HamiltonHAM,Mercedes,56.0,1:39:42.008,25.0,2015,Flag of People’s Republic of ChinaChina,12 Apr,https://www.formula1.com/en/results/2015/races/919/china/race-result
2,6,Nico RosbergROS,Mercedes,56.0,+0.714s,18.0,2015,Flag of People’s Republic of ChinaChina,12 Apr,https://www.formula1.com/en/results/2015/races/919/china/race-result
3,5,Sebastian VettelVET,Ferrari,56.0,+2.988s,15.0,2015,Flag of People’s Republic of ChinaChina,12 Apr,https://www.formula1.com/en/results/2015/races/919/china/race-result
4,7,Kimi RäikkönenRAI,Ferrari,56.0,+3.835s,12.0,2015,Flag of People’s Republic of ChinaChina,12 Apr,https://www.formula1.com/en/results/2015/races/919/china/race-result
5,19,Felipe MassaMAS,Williams Mercedes,56.0,+8.544s,10.0,2015,Flag of People’s Republic of ChinaChina,12 Apr,https://www.formula1.com/en/results/2015/races/919/china/race-result
6,77,Valtteri BottasBOT,Williams Mercedes,56.0,+9.885s,8.0,2015,Flag of People’s Republic of ChinaChina,12 Apr,https://www.formula1.com/en/results/2015/races/919/china/race-result
7,8,Romain GrosjeanGRO,Lotus Mercedes,56.0,+19.008s,6.0,2015,Flag of People’s Republic of ChinaChina,12 Apr,https://www.formula1.com/en/results/2015/races/919/china/race-result
8,12,Felipe NasrNAS,Sauber Ferrari,56.0,+22.625s,4.0,2015,Flag of People’s Republic of ChinaChina,12 Apr,https://www.formula1.com/en/results/2015/races/919/china/race-result
9,3,Daniel RicciardoRIC,Red Bull Racing Renault,56.0,+32.117s,2.0,2015,Flag of People’s Republic of ChinaChina,12 Apr,https://www.formula1.com/en/results/2015/races/919/china/race-result
10,9,Marcus EricssonERI,Sauber Ferrari,55.0,+1 lap,1.0,2015,Flag of People’s Republic of ChinaChina,12 Apr,https://www.formula1.com/en/results/2015/races/919/china/race-result
11,11,Sergio PerezPER,Force India Mercedes,55.0,+1 lap,0.0,2015,Flag of People’s Republic of ChinaChina,12 Apr,https://www.formula1.com/en/results/2015/races/919/china/race-result
12,14,Fernando AlonsoALO,McLaren Honda,55.0,+1 lap,0.0,2015,Flag of People’s Republic of ChinaChina,12 Apr,https://www.formula1.com/en/results/2015/races/919/china/race-result
13,55,Carlos SainzSAI,STR Renault,55.0,+1 lap,0.0,2015,Flag of People’s Republic of ChinaChina,12 Apr,https://www.formula1.com/en/results/2015/races/919/china/race-result
14,22,Jenson ButtonBUT,McLaren Honda,55.0,+1 lap,0.0,2015,Flag of People’s Republic of ChinaChina,12 Apr,https://www.formula1.com/en/results/2015/races/919/china/race-result
15,28,Will StevensSTE,Marussia Ferrari,54.0,+2 laps,0.0,2015,Flag of People’s Republic of ChinaChina,12 Apr,https://www.formula1.com/en/results/2015/races/919/china/race-result
16,98,Roberto MerhiMER,Marussia Ferrari,54.0,+2 laps,0.0,2015,Flag of People’s Republic of ChinaChina,12 Apr,https://www.formula1.com/en/results/2015/races/919/china/race-result
17,33,Max VerstappenVER,STR Renault,52.0,DNF,0.0,2015,Flag of People’s Republic of ChinaChina,12 Apr,https://www.formula1.com/en/results/2015/races/919/china/race-result
NC,13,Pastor MaldonadoMAL,Lotus Mercedes,49.0,DNF,0.0,2015,Flag of People’s Republic of ChinaChina,12 Apr,https://www.formula1.com/en/results/2015/races/919/china/race-result
NC,26,Daniil KvyatKVY,Red Bull Racing Renault,15.0,DNF,0.0,2015,Flag of People’s Republic of ChinaChina,12 Apr,https://www.formula1.com/en/results/2015/races/919/china/race-result
NC,27,Nico HulkenbergHUL,Force India Mercedes,9.0,DNF,0.0,2015,Flag of People’s Republic of ChinaChina,12 Apr,https://www.formula1.com/en/results/2015/races/919/china/race-result
1,44,Lewis HamiltonHAM,Mercedes,57.0,1:35:05.809,25.0,2015,Flag of BahrainBahrain,19 Apr,https://www.formula1.com/en/results/2015/races/920/bahrain/race-result
2,7,Kimi RäikkönenRAI,Ferrari,57.0,+3.380s,18.0,2015,Flag of BahrainBahrain,19 Apr,https://www.formula1.com/en/results/2015/races/920/bahrain/race-result
3,6,Nico RosbergROS,Mercedes,57.0,+6.033s,15.0,2015,Flag of BahrainBahrain,19 Apr,https://www.formula1.com/en/results/2015/races/920/bahrain/race-result
4,77,Valtteri BottasBOT,Williams Mercedes,57.0,+42.957s,12.0,2015,Flag of BahrainBahrain,19 Apr,https://www.formula1.com/en/results/2015/races/920/bahrain/race-result
5,5,Sebastian VettelVET,Ferrari,57.0,+43.989s,10.0,2015,Flag of BahrainBahrain,19 Apr,https://www.formula1.com/en/results/2015/races/920/bahrain/race-result
6,3,Daniel RicciardoRIC,Red Bull Racing Renault,57.0,+61.751s,8.0,2015,Flag of BahrainBahrain,19 Apr,https://www.formula1.com/en/results/2015/races/920/bahrain/race-result
7,8,Romain GrosjeanGRO,Lotus Mercedes,57.0,+84.763s,6.0,2015,Flag of BahrainBahrain,19 Apr,https://www.formula1.com/en/results/2015/races/920/bahrain/race-result
8,11,Sergio PerezPER,Force India Mercedes,56.0,+1 lap,4.0,2015,Flag of BahrainBahrain,19 Apr,https://www.formula1.com/en/results/2015/races/920/bahrain/race-result
9,26,Daniil KvyatKVY,Red Bull Racing Renault,56.0,+1 lap,2.0,2015,Flag of BahrainBahrain,19 Apr,https://www.formula1.com/en/results/2015/races/920/bahrain/race-result
10,19,Felipe MassaMAS,Williams Mercedes,56.0,+1 lap,1.0,2015,Flag of BahrainBahrain,19 Apr,https://www.formula1.com/en/results/2015/races/920/bahrain/race-result
11,14,Fernando AlonsoALO,McLaren Honda,56.0,+1 lap,0.0,2015,Flag of BahrainBahrain,19 Apr,https://www.formula1.com/en/results/2015/races/920/bahrain/race-result
12,12,Felipe NasrNAS,Sauber Ferrari,56.0,+1 lap,0.0,2015,Flag of BahrainBahrain,19 Apr,https://www.formula1.com/en/results/2015/races/920/bahrain/race-result
13,27,Nico HulkenbergHUL,Force India Mercedes,56.0,+1 lap,0.0,2015,Flag of BahrainBahrain,19 Apr,https://www.formula1.com/en/results/2015/races/920/bahrain/race-result
14,9,Marcus EricssonERI,Sauber Ferrari,56.0,+1 lap,0.0,2015,Flag of BahrainBahrain,19 Apr,https://www.formula1.com/en/results/2015/races/920/bahrain/race-result
15,13,Pastor MaldonadoMAL,Lotus Mercedes,56.0,+1 lap,0.0,2015,Flag of BahrainBahrain,19 Apr,https://www.formula1.com/en/results/2015/races/920/bahrain/race-result
16,28,Will StevensSTE,Marussia Ferrari,55.0,+2 laps,0.0,2015,Flag of BahrainBahrain,19 Apr,https://www.formula1.com/en/results/2015/races/920/bahrain/race-result
17,98,Roberto MerhiMER,Marussia Ferrari,54.0,+3 laps,0.0,2015,Flag of BahrainBahrain,19 Apr,https://www.formula1.com/en/results/2015/races/920/bahrain/race-result
NC,33,Max VerstappenVER,STR Renault,34.0,DNF,0.0,2015,Flag of BahrainBahrain,19 Apr,https://www.formula1.com/en/results/2015/races/920/bahrain/race-result
NC,55,Carlos SainzSAI,STR Renault,29.0,DNF,0.0,2015,Flag of BahrainBahrain,19 Apr,https://www.formula1.com/en/results/2015/races/920/bahrain/race-result
NC,22,Jenson ButtonBUT,McLaren Honda,0.0,DNS,0.0,2015,Flag of BahrainBahrain,19 Apr,https://www.formula1.com/en/results/2015/races/920/bahrain/race-result
1,6,Nico RosbergROS,Mercedes,66.0,1:41:12.555,25.0,2015,Flag of SpainSpain,10 May,https://www.formula1.com/en/results/2015/races/921/spain/race-result
2,44,Lewis HamiltonHAM,Mercedes,66.0,+17.551s,18.0,2015,Flag of SpainSpain,10 May,https://www.formula1.com/en/results/2015/races/921/spain/race-result
3,5,Sebastian VettelVET,Ferrari,66.0,+45.342s,15.0,2015,Flag of SpainSpain,10 May,https://www.formula1.com/en/results/2015/races/921/spain/race-result
4,77,Valtteri BottasBOT,Williams Mercedes,66.0,+59.217s,12.0,2015,Flag of SpainSpain,10 May,https://www.formula1.com/en/results/2015/races/921/spain/race-result
