Pos.,No.,Driver,Team,Laps,Time / Retired,Pts.,Year,Country,Race Date,Race Link
15,30,Jolyon PalmerPAL,Renault,50.0,+1 lap,0.0,2016,Flag of AzerbaijanEurope,19 Jun,https://www.formula1.com/en/results/2016/races/958/europe/race-result
16,21,Esteban Gutierrez GUT,Haas Ferrari,50.0,+1 lap,0.0,2016,Flag of AzerbaijanEurope,19 Jun,https://www.formula1.com/en/results/2016/races/958/europe/race-result
17,9,Marcus EricssonERI,Sauber Ferrari,50.0,+1 lap,0.0,2016,Flag of AzerbaijanEurope,19 Jun,https://www.formula1.com/en/results/2016/races/958/europe/race-result
18,88,Rio HaryantoHAR,MRT Mercedes,49.0,+2 laps,0.0,2016,Flag of AzerbaijanEurope,19 Jun,https://www.formula1.com/en/results/2016/races/958/europe/race-result
NC,14,Fernando AlonsoALO,McLaren Honda,42.0,DNF,0.0,2016,Flag of AzerbaijanEurope,19 Jun,https://www.formula1.com/en/results/2016/races/958/europe/race-result
NC,94,Pascal WehrleinWEH,MRT Mercedes,39.0,DNF,0.0,2016,Flag of AzerbaijanEurope,19 Jun,https://www.formula1.com/en/results/2016/races/958/europe/race-result
NC,55,Carlos SainzSAI,Toro Rosso Ferrari,31.0,DNF,0.0,2016,Flag of AzerbaijanEurope,19 Jun,https://www.formula1.com/en/results/2016/races/958/europe/race-result
NC,26,Daniil KvyatKVY,Toro Rosso Ferrari,6.0,DNF,0.0,2016,Flag of AzerbaijanEurope,19 Jun,https://www.formula1.com/en/results/2016/races/958/europe/race-result
1,44,Lewis HamiltonHAM,Mercedes,71.0,1:27:38.107,25.0,2016,Flag of AustriaAustria,03 Jul,https://www.formula1.com/en/results/2016/races/945/austria/race-result
2,33,Max VerstappenVER,Red Bull Racing TAG Heuer,71.0,+5.719s,18.0,2016,Flag of AustriaAustria,03 Jul,https://www.formula1.com/en/results/2016/races/945/austria/race-result
3,7,Kimi RäikkönenRAI,Ferrari,71.0,+6.024s,15.0,2016,Flag of AustriaAustria,03 Jul,https://www.formula1.com/en/results/2016/races/945/austria/race-result
4,6,Nico RosbergROS,Mercedes,71.0,+26.710s,12.0,2016,Flag of AustriaAustria,03 Jul,https://www.formula1.com/en/results/2016/races/945/austria/race-result
5,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,71.0,+30.981s,10.0,2016,Flag of AustriaAustria,03 Jul,https://www.formula1.com/en/results/2016/races/945/austria/race-result
6,22,Jenson ButtonBUT,McLaren Honda,71.0,+37.706s,8.0,2016,Flag of AustriaAustria,03 Jul,https://www.formula1.com/en/results/2016/races/945/austria/race-result
7,8,Romain GrosjeanGRO,Haas Ferrari,71.0,+44.668s,6.0,2016,Flag of AustriaAustria,03 Jul,https://www.formula1.com/en/results/2016/races/945/austria/race-result
8,55,Carlos SainzSAI,Toro Rosso Ferrari,71.0,+47.400s,4.0,2016,Flag of AustriaAustria,03 Jul,https://www.formula1.com/en/results/2016/races/945/austria/race-result
9,77,Valtteri BottasBOT,Williams Mercedes,70.0,+1 lap,2.0,2016,Flag of AustriaAustria,03 Jul,https://www.formula1.com/en/results/2016/races/945/austria/race-result
10,94,Pascal WehrleinWEH,MRT Mercedes,70.0,+1 lap,1.0,2016,Flag of AustriaAustria,03 Jul,https://www.formula1.com/en/results/2016/races/945/austria/race-result
11,21,Esteban Gutierrez GUT,Haas Ferrari,70.0,+1 lap,0.0,2016,Flag of AustriaAustria,03 Jul,https://www.formula1.com/en/results/2016/races/945/austria/race-result
12,30,Jolyon PalmerPAL,Renault,70.0,+1 lap,0.0,2016,Flag of AustriaAustria,03 Jul,https://www.formula1.com/en/results/2016/races/945/austria/race-result
13,12,Felipe NasrNAS,Sauber Ferrari,70.0,+1 lap,0.0,2016,Flag of AustriaAustria,03 Jul,https://www.formula1.com/en/results/2016/races/945/austria/race-result
14,20,Kevin MagnussenMAG,Renault,70.0,+1 lap,0.0,2016,Flag of AustriaAustria,03 Jul,https://www.formula1.com/en/results/2016/races/945/austria/race-result
15,9,Marcus EricssonERI,Sauber Ferrari,70.0,+1 lap,0.0,2016,Flag of AustriaAustria,03 Jul,https://www.formula1.com/en/results/2016/races/945/austria/race-result
16,88,Rio HaryantoHAR,MRT Mercedes,70.0,+1 lap,0.0,2016,Flag of AustriaAustria,03 Jul,https://www.formula1.com/en/results/2016/races/945/austria/race-result
17,11,Sergio PerezPER,Force India Mercedes,69.0,DNF,0.0,2016,Flag of AustriaAustria,03 Jul,https://www.formula1.com/en/results/2016/races/945/austria/race-result
18,14,Fernando AlonsoALO,McLaren Honda,64.0,DNF,0.0,2016,Flag of AustriaAustria,03 Jul,https://www.formula1.com/en/results/2016/races/945/austria/race-result
19,27,Nico HulkenbergHUL,Force India Mercedes,64.0,DNF,0.0,2016,Flag of AustriaAustria,03 Jul,https://www.formula1.com/en/results/2016/races/945/austria/race-result
20,19,Felipe MassaMAS,Williams Mercedes,63.0,DNF,0.0,2016,Flag of AustriaAustria,03 Jul,https://www.formula1.com/en/results/2016/races/945/austria/race-result
NC,5,Sebastian VettelVET,Ferrari,26.0,DNF,0.0,2016,Flag of AustriaAustria,03 Jul,https://www.formula1.com/en/results/2016/races/945/austria/race-result
NC,26,Daniil KvyatKVY,Toro Rosso Ferrari,2.0,DNF,0.0,2016,Flag of AustriaAustria,03 Jul,https://www.formula1.com/en/results/2016/races/945/austria/race-result
1,44,Lewis HamiltonHAM,Mercedes,52.0,1:34:55.831,25.0,2016,Flag of Great BritainGreat Britain,10 Jul,https://www.formula1.com/en/results/2016/races/946/great-britain/race-result
2,33,Max VerstappenVER,Red Bull Racing TAG Heuer,52.0,+8.250s,18.0,2016,Flag of Great BritainGreat Britain,10 Jul,https://www.formula1.com/en/results/2016/races/946/great-britain/race-result
3,6,Nico RosbergROS,Mercedes,52.0,+16.911s,15.0,2016,Flag of Great BritainGreat Britain,10 Jul,https://www.formula1.com/en/results/2016/races/946/great-britain/race-result
4,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,52.0,+26.211s,12.0,2016,Flag of Great BritainGreat Britain,10 Jul,https://www.formula1.com/en/results/2016/races/946/great-britain/race-result
5,7,Kimi RäikkönenRAI,Ferrari,52.0,+69.743s,10.0,2016,Flag of Great BritainGreat Britain,10 Jul,https://www.formula1.com/en/results/2016/races/946/great-britain/race-result
6,11,Sergio PerezPER,Force India Mercedes,52.0,+76.941s,8.0,2016,Flag of Great BritainGreat Britain,10 Jul,https://www.formula1.com/en/results/2016/races/946/great-britain/race-result
7,27,Nico HulkenbergHUL,Force India Mercedes,52.0,+77.712s,6.0,2016,Flag of Great BritainGreat Britain,10 Jul,https://www.formula1.com/en/results/2016/races/946/great-britain/race-result
8,55,Carlos SainzSAI,Toro Rosso Ferrari,52.0,+85.858s,4.0,2016,Flag of Great BritainGreat Britain,10 Jul,https://www.formula1.com/en/results/2016/races/946/great-britain/race-result
9,5,Sebastian VettelVET,Ferrari,52.0,+91.654s,2.0,2016,Flag of Great BritainGreat Britain,10 Jul,https://www.formula1.com/en/results/2016/races/946/great-britain/race-result
10,26,Daniil KvyatKVY,Toro Rosso Ferrari,52.0,+92.600s,1.0,2016,Flag of Great BritainGreat Britain,10 Jul,https://www.formula1.com/en/results/2016/races/946/great-britain/race-result
11,19,Felipe MassaMAS,Williams Mercedes,51.0,+1 lap,0.0,2016,Flag of Great BritainGreat Britain,10 Jul,https://www.formula1.com/en/results/2016/races/946/great-britain/race-result
12,22,Jenson ButtonBUT,McLaren Honda,51.0,+1 lap,0.0,2016,Flag of Great BritainGreat Britain,10 Jul,https://www.formula1.com/en/results/2016/races/946/great-britain/race-result
13,14,Fernando AlonsoALO,McLaren Honda,51.0,+1 lap,0.0,2016,Flag of Great BritainGreat Britain,10 Jul,https://www.formula1.com/en/results/2016/races/946/great-britain/race-result
14,77,Valtteri BottasBOT,Williams Mercedes,51.0,+1 lap,0.0,2016,Flag of Great BritainGreat Britain,10 Jul,https://www.formula1.com/en/results/2016/races/946/great-britain/race-result
15,12,Felipe NasrNAS,Sauber Ferrari,51.0,+1 lap,0.0,2016,Flag of Great BritainGreat Britain,10 Jul,https://www.formula1.com/en/results/2016/races/946/great-britain/race-result
16,21,Esteban Gutierrez GUT,Haas Ferrari,51.0,+1 lap,0.0,2016,Flag of Great BritainGreat Britain,10 Jul,https://www.formula1.com/en/results/2016/races/946/great-britain/race-result
17,20,Kevin MagnussenMAG,Renault,49.0,DNF,0.0,2016,Flag of Great BritainGreat Britain,10 Jul,https://www.formula1.com/en/results/2016/races/946/great-britain/race-result
NC,30,Jolyon PalmerPAL,Renault,37.0,DNF,0.0,2016,Flag of Great BritainGreat Britain,10 Jul,https://www.formula1.com/en/results/2016/races/946/great-britain/race-result
NC,88,Rio HaryantoHAR,MRT Mercedes,24.0,DNF,0.0,2016,Flag of Great BritainGreat Britain,10 Jul,https://www.formula1.com/en/results/2016/races/946/great-britain/race-result
NC,8,Romain GrosjeanGRO,Haas Ferrari,17.0,DNF,0.0,2016,Flag of Great BritainGreat Britain,10 Jul,https://www.formula1.com/en/results/2016/races/946/great-britain/race-result
NC,9,Marcus EricssonERI,Sauber Ferrari,11.0,DNF,0.0,2016,Flag of Great BritainGreat Britain,10 Jul,https://www.formula1.com/en/results/2016/races/946/great-britain/race-result
NC,94,Pascal WehrleinWEH,MRT Mercedes,6.0,DNF,0.0,2016,Flag of Great BritainGreat Britain,10 Jul,https://www.formula1.com/en/results/2016/races/946/great-britain/race-result
1,44,Lewis HamiltonHAM,Mercedes,70.0,1:40:30.115,25.0,2016,Flag of HungaryHungary,24 Jul,https://www.formula1.com/en/results/2016/races/947/hungary/race-result
2,6,Nico RosbergROS,Mercedes,70.0,+1.977s,18.0,2016,Flag of HungaryHungary,24 Jul,https://www.formula1.com/en/results/2016/races/947/hungary/race-result
3,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,70.0,+27.539s,15.0,2016,Flag of HungaryHungary,24 Jul,https://www.formula1.com/en/results/2016/races/947/hungary/race-result
4,5,Sebastian VettelVET,Ferrari,70.0,+28.213s,12.0,2016,Flag of HungaryHungary,24 Jul,https://www.formula1.com/en/results/2016/races/947/hungary/race-result
5,33,Max VerstappenVER,Red Bull Racing TAG Heuer,70.0,+48.659s,10.0,2016,Flag of HungaryHungary,24 Jul,https://www.formula1.com/en/results/2016/races/947/hungary/race-result
6,7,Kimi RäikkönenRAI,Ferrari,70.0,+49.044s,8.0,2016,Flag of HungaryHungary,24 Jul,https://www.formula1.com/en/results/2016/races/947/hungary/race-result
7,14,Fernando AlonsoALO,McLaren Honda,69.0,+1 lap,6.0,2016,Flag of HungaryHungary,24 Jul,https://www.formula1.com/en/results/2016/races/947/hungary/race-result
8,55,Carlos SainzSAI,Toro Rosso Ferrari,69.0,+1 lap,4.0,2016,Flag of HungaryHungary,24 Jul,https://www.formula1.com/en/results/2016/races/947/hungary/race-result
9,77,Valtteri BottasBOT,Williams Mercedes,69.0,+1 lap,2.0,2016,Flag of HungaryHungary,24 Jul,https://www.formula1.com/en/results/2016/races/947/hungary/race-result
10,27,Nico HulkenbergHUL,Force India Mercedes,69.0,+1 lap,1.0,2016,Flag of HungaryHungary,24 Jul,https://www.formula1.com/en/results/2016/races/947/hungary/race-result
11,11,Sergio PerezPER,Force India Mercedes,69.0,+1 lap,0.0,2016,Flag of HungaryHungary,24 Jul,https://www.formula1.com/en/results/2016/races/947/hungary/race-result
12,30,Jolyon PalmerPAL,Renault,69.0,+1 lap,0.0,2016,Flag of HungaryHungary,24 Jul,https://www.formula1.com/en/results/2016/races/947/hungary/race-result
13,21,Esteban Gutierrez GUT,Haas Ferrari,69.0,+1 lap,0.0,2016,Flag of HungaryHungary,24 Jul,https://www.formula1.com/en/results/2016/races/947/hungary/race-result
14,8,Romain GrosjeanGRO,Haas Ferrari,69.0,+1 lap,0.0,2016,Flag of HungaryHungary,24 Jul,https://www.formula1.com/en/results/2016/races/947/hungary/race-result
15,20,Kevin MagnussenMAG,Renault,69.0,+1 lap,0.0,2016,Flag of HungaryHungary,24 Jul,https://www.formula1.com/en/results/2016/races/947/hungary/race-result
16,26,Daniil KvyatKVY,Toro Rosso Ferrari,69.0,+1 lap,0.0,2016,Flag of HungaryHungary,24 Jul,https://www.formula1.com/en/results/2016/races/947/hungary/race-result
17,12,Felipe NasrNAS,Sauber Ferrari,69.0,+1 lap,0.0,2016,Flag of HungaryHungary,24 Jul,https://www.formula1.com/en/results/2016/races/947/hungary/race-result
18,19,Felipe MassaMAS,Williams Mercedes,68.0,+2 laps,0.0,2016,Flag of HungaryHungary,24 Jul,https://www.formula1.com/en/results/2016/races/947/hungary/race-result
19,94,Pascal WehrleinWEH,MRT Mercedes,68.0,+2 laps,0.0,2016,Flag of HungaryHungary,24 Jul,https://www.formula1.com/en/results/2016/races/947/hungary/race-result
20,9,Marcus EricssonERI,Sauber Ferrari,68.0,+2 laps,0.0,2016,Flag of HungaryHungary,24 Jul,https://www.formula1.com/en/results/2016/races/947/hungary/race-result
21,88,Rio HaryantoHAR,MRT Mercedes,68.0,+2 laps,0.0,2016,Flag of HungaryHungary,24 Jul,https://www.formula1.com/en/results/2016/races/947/hungary/race-result
NC,22,Jenson ButtonBUT,McLaren Honda,60.0,DNF,0.0,2016,Flag of HungaryHungary,24 Jul,https://www.formula1.com/en/results/2016/races/947/hungary/race-result
1,44,Lewis HamiltonHAM,Mercedes,67.0,1:30:44.200,25.0,2016,Flag of GermanyGermany,31 Jul,https://www.formula1.com/en/results/2016/races/948/germany/race-result
2,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,67.0,+6.996s,18.0,2016,Flag of GermanyGermany,31 Jul,https://www.formula1.com/en/results/2016/races/948/germany/race-result
3,33,Max VerstappenVER,Red Bull Racing TAG Heuer,67.0,+13.413s,15.0,2016,Flag of GermanyGermany,31 Jul,https://www.formula1.com/en/results/2016/races/948/germany/race-result
4,6,Nico RosbergROS,Mercedes,67.0,+15.845s,12.0,2016,Flag of GermanyGermany,31 Jul,https://www.formula1.com/en/results/2016/races/948/germany/race-result
5,5,Sebastian VettelVET,Ferrari,67.0,+32.570s,10.0,2016,Flag of GermanyGermany,31 Jul,https://www.formula1.com/en/results/2016/races/948/germany/race-result
6,7,Kimi RäikkönenRAI,Ferrari,67.0,+37.023s,8.0,2016,Flag of GermanyGermany,31 Jul,https://www.formula1.com/en/results/2016/races/948/germany/race-result
7,27,Nico HulkenbergHUL,Force India Mercedes,67.0,+70.049s,6.0,2016,Flag of GermanyGermany,31 Jul,https://www.formula1.com/en/results/2016/races/948/germany/race-result
8,22,Jenson ButtonBUT,McLaren Honda,66.0,+1 lap,4.0,2016,Flag of GermanyGermany,31 Jul,https://www.formula1.com/en/results/2016/races/948/germany/race-result
9,77,Valtteri BottasBOT,Williams Mercedes,66.0,+1 lap,2.0,2016,Flag of GermanyGermany,31 Jul,https://www.formula1.com/en/results/2016/races/948/germany/race-result
10,11,Sergio PerezPER,Force India Mercedes,66.0,+1 lap,1.0,2016,Flag of GermanyGermany,31 Jul,https://www.formula1.com/en/results/2016/races/948/germany/race-result
11,21,Esteban Gutierrez GUT,Haas Ferrari,66.0,+1 lap,0.0,2016,Flag of GermanyGermany,31 Jul,https://www.formula1.com/en/results/2016/races/948/germany/race-result
12,14,Fernando AlonsoALO,McLaren Honda,66.0,+1 lap,0.0,2016,Flag of GermanyGermany,31 Jul,https://www.formula1.com/en/results/2016/races/948/germany/race-result
13,8,Romain GrosjeanGRO,Haas Ferrari,66.0,+1 lap,0.0,2016,Flag of GermanyGermany,31 Jul,https://www.formula1.com/en/results/2016/races/948/germany/race-result
14,55,Carlos SainzSAI,Toro Rosso Ferrari,66.0,+1 lap,0.0,2016,Flag of GermanyGermany,31 Jul,https://www.formula1.com/en/results/2016/races/948/germany/race-result
15,26,Daniil KvyatKVY,Toro Rosso Ferrari,66.0,+1 lap,0.0,2016,Flag of GermanyGermany,31 Jul,https://www.formula1.com/en/results/2016/races/948/germany/race-result
16,20,Kevin MagnussenMAG,Renault,66.0,+1 lap,0.0,2016,Flag of GermanyGermany,31 Jul,https://www.formula1.com/en/results/2016/races/948/germany/race-result
17,94,Pascal WehrleinWEH,MRT Mercedes,65.0,+2 laps,0.0,2016,Flag of GermanyGermany,31 Jul,https://www.formula1.com/en/results/2016/races/948/germany/race-result
18,9,Marcus EricssonERI,Sauber Ferrari,65.0,+2 laps,0.0,2016,Flag of GermanyGermany,31 Jul,https://www.formula1.com/en/results/2016/races/948/germany/race-result
19,30,Jolyon PalmerPAL,Renault,65.0,+2 laps,0.0,2016,Flag of GermanyGermany,31 Jul,https://www.formula1.com/en/results/2016/races/948/germany/race-result
20,88,Rio HaryantoHAR,MRT Mercedes,65.0,+2 laps,0.0,2016,Flag of GermanyGermany,31 Jul,https://www.formula1.com/en/results/2016/races/948/germany/race-result
NC,12,Felipe NasrNAS,Sauber Ferrari,57.0,DNF,0.0,2016,Flag of GermanyGermany,31 Jul,https://www.formula1.com/en/results/2016/races/948/germany/race-result
NC,19,Felipe MassaMAS,Williams Mercedes,36.0,DNF,0.0,2016,Flag of GermanyGermany,31 Jul,https://www.formula1.com/en/results/2016/races/948/germany/race-result
1,6,Nico RosbergROS,Mercedes,44.0,1:44:51.058,25.0,2016,Flag of BelgiumBelgium,28 Aug,https://www.formula1.com/en/results/2016/races/949/belgium/race-result
2,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,44.0,+14.113s,18.0,2016,Flag of BelgiumBelgium,28 Aug,https://www.formula1.com/en/results/2016/races/949/belgium/race-result
3,44,Lewis HamiltonHAM,Mercedes,44.0,+27.634s,15.0,2016,Flag of BelgiumBelgium,28 Aug,https://www.formula1.com/en/results/2016/races/949/belgium/race-result
4,27,Nico HulkenbergHUL,Force India Mercedes,44.0,+35.907s,12.0,2016,Flag of BelgiumBelgium,28 Aug,https://www.formula1.com/en/results/2016/races/949/belgium/race-result
5,11,Sergio PerezPER,Force India Mercedes,44.0,+40.660s,10.0,2016,Flag of BelgiumBelgium,28 Aug,https://www.formula1.com/en/results/2016/races/949/belgium/race-result
6,5,Sebastian VettelVET,Ferrari,44.0,+45.394s,8.0,2016,Flag of BelgiumBelgium,28 Aug,https://www.formula1.com/en/results/2016/races/949/belgium/race-result
7,14,Fernando AlonsoALO,McLaren Honda,44.0,+59.445s,6.0,2016,Flag of BelgiumBelgium,28 Aug,https://www.formula1.com/en/results/2016/races/949/belgium/race-result
8,77,Valtteri BottasBOT,Williams Mercedes,44.0,+60.151s,4.0,2016,Flag of BelgiumBelgium,28 Aug,https://www.formula1.com/en/results/2016/races/949/belgium/race-result
9,7,Kimi RäikkönenRAI,Ferrari,44.0,+61.109s,2.0,2016,Flag of BelgiumBelgium,28 Aug,https://www.formula1.com/en/results/2016/races/949/belgium/race-result
10,19,Felipe MassaMAS,Williams Mercedes,44.0,+65.873s,1.0,2016,Flag of BelgiumBelgium,28 Aug,https://www.formula1.com/en/results/2016/races/949/belgium/race-result
11,33,Max VerstappenVER,Red Bull Racing TAG Heuer,44.0,+71.138s,0.0,2016,Flag of BelgiumBelgium,28 Aug,https://www.formula1.com/en/results/2016/races/949/belgium/race-result
12,21,Esteban Gutierrez GUT,Haas Ferrari,44.0,+73.877s,0.0,2016,Flag of BelgiumBelgium,28 Aug,https://www.formula1.com/en/results/2016/races/949/belgium/race-result
13,8,Romain GrosjeanGRO,Haas Ferrari,44.0,+76.474s,0.0,2016,Flag of BelgiumBelgium,28 Aug,https://www.formula1.com/en/results/2016/races/949/belgium/race-result
14,26,Daniil KvyatKVY,Toro Rosso Ferrari,44.0,+87.097s,0.0,2016,Flag of BelgiumBelgium,28 Aug,https://www.formula1.com/en/results/2016/races/949/belgium/race-result
15,30,Jolyon PalmerPAL,Renault,44.0,+93.165s,0.0,2016,Flag of BelgiumBelgium,28 Aug,https://www.formula1.com/en/results/2016/races/949/belgium/race-result
16,31,Esteban OconOCO,MRT Mercedes,43.0,+1 lap,0.0,2016,Flag of BelgiumBelgium,28 Aug,https://www.formula1.com/en/results/2016/races/949/belgium/race-result
17,12,Felipe NasrNAS,Sauber Ferrari,43.0,+1 lap,0.0,2016,Flag of BelgiumBelgium,28 Aug,https://www.formula1.com/en/results/2016/races/949/belgium/race-result
NC,20,Kevin MagnussenMAG,Renault,5.0,DNF,0.0,2016,Flag of BelgiumBelgium,28 Aug,https://www.formula1.com/en/results/2016/races/949/belgium/race-result
NC,9,Marcus EricssonERI,Sauber Ferrari,3.0,DNF,0.0,2016,Flag of BelgiumBelgium,28 Aug,https://www.formula1.com/en/results/2016/races/949/belgium/race-result
NC,55,Carlos SainzSAI,Toro Rosso Ferrari,1.0,DNF,0.0,2016,Flag of BelgiumBelgium,28 Aug,https://www.formula1.com/en/results/2016/races/949/belgium/race-result
NC,22,Jenson ButtonBUT,McLaren Honda,1.0,DNF,0.0,2016,Flag of BelgiumBelgium,28 Aug,https://www.formula1.com/en/results/2016/races/949/belgium/race-result
NC,94,Pascal WehrleinWEH,MRT Mercedes,0.0,DNF,0.0,2016,Flag of BelgiumBelgium,28 Aug,https://www.formula1.com/en/results/2016/races/949/belgium/race-result
1,6,Nico RosbergROS,Mercedes,53.0,1:17:28.089,25.0,2016,Flag of ItalyItaly,04 Sep,https://www.formula1.com/en/results/2016/races/950/italy/race-result
2,44,Lewis HamiltonHAM,Mercedes,53.0,+15.070s,18.0,2016,Flag of ItalyItaly,04 Sep,https://www.formula1.com/en/results/2016/races/950/italy/race-result
3,5,Sebastian VettelVET,Ferrari,53.0,+20.990s,15.0,2016,Flag of ItalyItaly,04 Sep,https://www.formula1.com/en/results/2016/races/950/italy/race-result
4,7,Kimi RäikkönenRAI,Ferrari,53.0,+27.561s,12.0,2016,Flag of ItalyItaly,04 Sep,https://www.formula1.com/en/results/2016/races/950/italy/race-result
5,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,53.0,+45.295s,10.0,2016,Flag of ItalyItaly,04 Sep,https://www.formula1.com/en/results/2016/races/950/italy/race-result
6,77,Valtteri BottasBOT,Williams Mercedes,53.0,+51.015s,8.0,2016,Flag of ItalyItaly,04 Sep,https://www.formula1.com/en/results/2016/races/950/italy/race-result
7,33,Max VerstappenVER,Red Bull Racing TAG Heuer,53.0,+54.236s,6.0,2016,Flag of ItalyItaly,04 Sep,https://www.formula1.com/en/results/2016/races/950/italy/race-result
8,11,Sergio PerezPER,Force India Mercedes,53.0,+64.954s,4.0,2016,Flag of ItalyItaly,04 Sep,https://www.formula1.com/en/results/2016/races/950/italy/race-result
9,19,Felipe MassaMAS,Williams Mercedes,53.0,+65.617s,2.0,2016,Flag of ItalyItaly,04 Sep,https://www.formula1.com/en/results/2016/races/950/italy/race-result
10,27,Nico HulkenbergHUL,Force India Mercedes,53.0,+78.656s,1.0,2016,Flag of ItalyItaly,04 Sep,https://www.formula1.com/en/results/2016/races/950/italy/race-result
11,8,Romain GrosjeanGRO,Haas Ferrari,52.0,+1 lap,0.0,2016,Flag of ItalyItaly,04 Sep,https://www.formula1.com/en/results/2016/races/950/italy/race-result
12,22,Jenson ButtonBUT,McLaren Honda,52.0,+1 lap,0.0,2016,Flag of ItalyItaly,04 Sep,https://www.formula1.com/en/results/2016/races/950/italy/race-result
13,21,Esteban Gutierrez GUT,Haas Ferrari,52.0,+1 lap,0.0,2016,Flag of ItalyItaly,04 Sep,https://www.formula1.com/en/results/2016/races/950/italy/race-result
14,14,Fernando AlonsoALO,McLaren Honda,52.0,+1 lap,0.0,2016,Flag of ItalyItaly,04 Sep,https://www.formula1.com/en/results/2016/races/950/italy/race-result
15,55,Carlos SainzSAI,Toro Rosso Ferrari,52.0,+1 lap,0.0,2016,Flag of ItalyItaly,04 Sep,https://www.formula1.com/en/results/2016/races/950/italy/race-result
16,9,Marcus EricssonERI,Sauber Ferrari,52.0,+1 lap,0.0,2016,Flag of ItalyItaly,04 Sep,https://www.formula1.com/en/results/2016/races/950/italy/race-result
17,20,Kevin MagnussenMAG,Renault,52.0,+1 lap,0.0,2016,Flag of ItalyItaly,04 Sep,https://www.formula1.com/en/results/2016/races/950/italy/race-result
18,31,Esteban OconOCO,MRT Mercedes,51.0,+2 laps,0.0,2016,Flag of ItalyItaly,04 Sep,https://www.formula1.com/en/results/2016/races/950/italy/race-result
NC,26,Daniil KvyatKVY,Toro Rosso Ferrari,36.0,DNF,0.0,2016,Flag of ItalyItaly,04 Sep,https://www.formula1.com/en/results/2016/races/950/italy/race-result
NC,94,Pascal WehrleinWEH,MRT Mercedes,26.0,DNF,0.0,2016,Flag of ItalyItaly,04 Sep,https://www.formula1.com/en/results/2016/races/950/italy/race-result
NC,30,Jolyon PalmerPAL,Renault,7.0,DNF,0.0,2016,Flag of ItalyItaly,04 Sep,https://www.formula1.com/en/results/2016/races/950/italy/race-result
NC,12,Felipe NasrNAS,Sauber Ferrari,6.0,DNF,0.0,2016,Flag of ItalyItaly,04 Sep,https://www.formula1.com/en/results/2016/races/950/italy/race-result
1,6,Nico RosbergROS,Mercedes,61.0,1:55:48.950,25.0,2016,Flag of SingaporeSingapore,18 Sep,https://www.formula1.com/en/results/2016/races/951/singapore/race-result
2,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,61.0,+0.488s,18.0,2016,Flag of SingaporeSingapore,18 Sep,https://www.formula1.com/en/results/2016/races/951/singapore/race-result
3,44,Lewis HamiltonHAM,Mercedes,61.0,+8.038s,15.0,2016,Flag of SingaporeSingapore,18 Sep,https://www.formula1.com/en/results/2016/races/951/singapore/race-result
4,7,Kimi RäikkönenRAI,Ferrari,61.0,+10.219s,12.0,2016,Flag of SingaporeSingapore,18 Sep,https://www.formula1.com/en/results/2016/races/951/singapore/race-result
5,5,Sebastian VettelVET,Ferrari,61.0,+27.694s,10.0,2016,Flag of SingaporeSingapore,18 Sep,https://www.formula1.com/en/results/2016/races/951/singapore/race-result
6,33,Max VerstappenVER,Red Bull Racing TAG Heuer,61.0,+71.197s,8.0,2016,Flag of SingaporeSingapore,18 Sep,https://www.formula1.com/en/results/2016/races/951/singapore/race-result
7,14,Fernando AlonsoALO,McLaren Honda,61.0,+89.198s,6.0,2016,Flag of SingaporeSingapore,18 Sep,https://www.formula1.com/en/results/2016/races/951/singapore/race-result
8,11,Sergio PerezPER,Force India Mercedes,61.0,+111.062s,4.0,2016,Flag of SingaporeSingapore,18 Sep,https://www.formula1.com/en/results/2016/races/951/singapore/race-result
9,26,Daniil KvyatKVY,Toro Rosso Ferrari,61.0,+111.557s,2.0,2016,Flag of SingaporeSingapore,18 Sep,https://www.formula1.com/en/results/2016/races/951/singapore/race-result
10,20,Kevin MagnussenMAG,Renault,61.0,+119.952s,1.0,2016,Flag of SingaporeSingapore,18 Sep,https://www.formula1.com/en/results/2016/races/951/singapore/race-result
11,21,Esteban Gutierrez GUT,Haas Ferrari,60.0,+1 lap,0.0,2016,Flag of SingaporeSingapore,18 Sep,https://www.formula1.com/en/results/2016/races/951/singapore/race-result
12,19,Felipe MassaMAS,Williams Mercedes,60.0,+1 lap,0.0,2016,Flag of SingaporeSingapore,18 Sep,https://www.formula1.com/en/results/2016/races/951/singapore/race-result
13,12,Felipe NasrNAS,Sauber Ferrari,60.0,+1 lap,0.0,2016,Flag of SingaporeSingapore,18 Sep,https://www.formula1.com/en/results/2016/races/951/singapore/race-result
14,55,Carlos SainzSAI,Toro Rosso Ferrari,60.0,+1 lap,0.0,2016,Flag of SingaporeSingapore,18 Sep,https://www.formula1.com/en/results/2016/races/951/singapore/race-result
15,30,Jolyon PalmerPAL,Renault,60.0,+1 lap,0.0,2016,Flag of SingaporeSingapore,18 Sep,https://www.formula1.com/en/results/2016/races/951/singapore/race-result
